                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.36606,                0.85739,                0.35255,                0.69758,                0.57037,                0.63849,                0.37103,                0.41681,                0.94287,                0.45878,                 0.0001,                 0.0001,                 0.0001
                     99,                0.36434,                0.84676,                0.34971,                 0.6929,                0.57833,                0.64121,                0.37415,                0.41903,                 0.9285,                0.46385,                 0.0001,                 0.0001,                 0.0001
                    100,                0.36209,                0.87435,                0.34777,                0.71098,                 0.5656,                0.64091,                  0.374,                0.41671,                0.93464,                0.46161,                 0.0001,                 0.0001,                 0.0001
                    101,                0.36185,                0.86983,                0.35198,                0.74898,                0.57395,                 0.6477,                0.37477,                0.41724,                0.93179,                0.46269,                 0.0001,                 0.0001,                 0.0001
                    102,                0.36446,                0.85676,                0.34716,                0.74955,                0.57626,                0.65177,                0.37481,                0.41938,                0.92064,                0.46507,                 0.0001,                 0.0001,                 0.0001
                    103,                0.36661,                0.84386,                0.35326,                0.69467,                0.58697,                0.64913,                0.37432,                0.42095,                 0.9193,                0.46391,                 0.0001,                 0.0001,                 0.0001
                    104,                0.36615,                0.84524,                0.34914,                0.70672,                0.57881,                0.64785,                  0.374,                0.42205,                0.91808,                0.46462,                 0.0001,                 0.0001,                 0.0001
                    105,                0.36639,                0.83015,                0.35138,                0.72739,                0.58836,                0.65422,                0.37554,                0.42151,                0.92041,                0.46363,                 0.0001,                 0.0001,                 0.0001
                    106,                0.35813,                0.85607,                  0.346,                0.73732,                 0.5968,                0.65677,                0.37699,                0.42124,                0.91954,                0.46496,                 0.0001,                 0.0001,                 0.0001
                    107,                0.36402,                0.83988,                0.35375,                0.71236,                0.58841,                0.65355,                0.37736,                 0.4216,                0.91897,                0.46627,                 0.0001,                 0.0001,                 0.0001
                    108,                0.36318,                0.84272,                 0.3398,                0.70764,                0.59173,                0.65311,                0.37698,                0.41905,                0.93028,                0.46289,                 0.0001,                 0.0001,                 0.0001
                    109,                0.35932,                0.84566,                0.34131,                0.68122,                0.60728,                0.65751,                0.38041,                  0.421,                 0.9175,                0.46719,                 0.0001,                 0.0001,                 0.0001
                    110,                0.36221,                0.83773,                0.34215,                 0.6832,                0.60171,                0.65178,                0.37818,                0.42063,                0.91413,                0.46858,                 0.0001,                 0.0001,                 0.0001
                    111,                0.36174,                0.83463,                0.34466,                0.68622,                0.60637,                0.65492,                0.38064,                0.42071,                0.91248,                0.46571,                 0.0001,                 0.0001,                 0.0001
                    112,                0.36362,                0.82602,                0.34438,                0.68029,                0.60543,                0.65668,                0.38325,                 0.4191,                0.91458,                0.46335,                 0.0001,                 0.0001,                 0.0001
